TSK,TSK_desc,Registrovano_pocet,Objasneno_pocet,Objasneno_procent,Spachano_nezletilymi,Spachano_mladistvymi,Spachano_detmi,Spachano_opakovane,Spachano_cizinci,Spachano_pod_vlivem,Spachano_pod_vlivem_alkoholu,Spachano_firmou,Objasneno_dodatecne,Objasneno_celkem,Spachano_nezletilymi_celkem,Spachano_mladistvymi_celkem,Spachano_detmi_celkem,Spachano_opakovane_celkem,Spachano_cizinci_celkem,Spachano_pod_vlivem_celkem,Spachano_pod_vlivem_alkoholu_celkem,Spachano_firmou_celkem,Skoda_celkem_tis,Skoda_zajistena_tis,Region,Period
100-106,vraždy,16,11,0.6875,1,0,1,7,0,3,2,0,2,13,1,1,2,7,1,3,2,0,0,0,Česká republika,2024-01-01
100-199,násilná kriminalita,1500,380,0.25329999999999997,5,17,22,203,55,71,50,0,428,808,29,59,87,363,102,123,84,0,9889,3,Česká republika,2024-01-01
200-299,mravnostní kriminalita,350,70,0.2,8,6,14,21,11,6,4,0,112,182,29,25,54,45,17,7,5,1,0,0,Česká republika,2024-01-01
300-399,krádeže vloupáním,2371,215,0.0907,1,4,5,184,13,4,2,0,448,663,6,27,33,526,26,5,3,0,118029,213,Česká republika,2024-01-01
400-499,krádeže prosté,3077,943,0.3065,1,3,4,790,48,39,20,0,581,1524,10,22,32,1223,106,46,23,0,111554,1183,Česká republika,2024-01-01
500-599,ostatní majetková kriminalita,3266,163,0.0499,0,1,1,86,16,24,13,0,399,562,9,13,22,254,69,35,21,0,488175,645,Česká republika,2024-01-01
300-599,majetková kriminalita,8714,1321,0.1516,2,8,10,1060,77,67,35,0,1428,2749,25,62,87,2003,201,86,47,0,717758,2041,Česká republika,2024-01-01
600-699,ostatní kriminalita,2835,1094,0.3859,3,15,18,668,119,115,64,0,683,1777,23,68,90,1051,174,174,95,0,84838,0,Česká republika,2024-01-01
100-699,obecná kriminalita,13399,2865,0.2138,18,46,64,1952,262,259,153,0,2651,5516,106,214,318,3462,494,390,231,1,812486,2044,Česká republika,2024-01-01
700-799,zbývající kriminalita,2610,642,0.24600000000000002,1,5,6,182,139,481,406,0,1066,1708,2,9,11,502,271,890,707,0,190498,0,Česká republika,2024-01-01
800-899,hospodářská kriminalita,1527,327,0.21420000000000003,0,0,0,92,154,1,1,1,228,555,0,3,3,152,199,1,1,17,1043544,62,Česká republika,2024-01-01
900-999,vojenské a protiústavní činy,1,1,1.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,Česká republika,2024-01-01
100-106,vraždy,6,2,0.3333,0,0,0,1,0,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,Praha,2024-01-01
100-199,násilná kriminalita,183,54,0.29510000000000003,1,1,2,21,10,6,6,0,39,93,5,2,7,33,19,9,9,0,4190,0,Praha,2024-01-01
200-299,mravnostní kriminalita,49,13,0.26530000000000004,2,2,4,2,2,1,0,0,16,29,5,5,10,5,2,1,0,0,0,0,Praha,2024-01-01
300-399,krádeže vloupáním,729,15,0.0206,0,0,0,13,2,0,0,0,80,95,0,2,2,66,6,0,0,0,49123,23,Praha,2024-01-01
400-499,krádeže prosté,779,103,0.1322,0,0,0,70,22,3,2,0,130,233,1,0,1,182,50,3,2,0,25349,494,Praha,2024-01-01
500-599,ostatní majetková kriminalita,780,24,0.0308,0,0,0,17,5,2,2,0,68,92,2,0,2,45,18,5,4,0,130034,5,Praha,2024-01-01
300-599,majetková kriminalita,2288,142,0.0621,0,0,0,100,29,5,4,0,278,420,3,2,5,293,74,8,6,0,204507,522,Praha,2024-01-01
600-699,ostatní kriminalita,454,149,0.3282,0,0,0,88,32,11,7,0,73,222,1,3,4,132,43,16,10,0,6804,0,Praha,2024-01-01
100-699,obecná kriminalita,2974,358,0.1204,3,3,6,211,73,23,17,0,406,764,14,12,26,463,138,34,25,0,215501,522,Praha,2024-01-01
700-799,zbývající kriminalita,235,95,0.4043,0,0,0,18,33,77,52,0,118,213,0,0,0,46,62,119,77,0,46643,0,Praha,2024-01-01
800-899,hospodářská kriminalita,375,150,0.4,0,0,0,50,127,1,1,0,60,210,0,2,2,64,144,1,1,2,518636,0,Praha,2024-01-01
900-999,vojenské a protiústavní činy,1,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Praha,2024-01-01
100-106,vraždy,1,1,1.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,Středočeský,2024-01-01
100-199,násilná kriminalita,159,31,0.195,0,1,1,14,5,2,2,0,42,73,5,1,6,29,9,4,3,0,303,0,Středočeský,2024-01-01
200-299,mravnostní kriminalita,40,9,0.225,0,1,1,5,1,0,0,0,12,21,0,3,3,10,2,0,0,0,0,0,Středočeský,2024-01-01
300-399,krádeže vloupáním,269,27,0.10039999999999999,0,0,0,24,3,1,1,0,53,80,1,4,5,65,4,1,1,0,15194,10,Středočeský,2024-01-01
400-499,krádeže prosté,236,62,0.2627,0,0,0,38,4,1,0,0,60,122,1,1,2,78,13,2,1,0,13625,103,Středočeský,2024-01-01
500-599,ostatní majetková kriminalita,354,14,0.039599999999999996,0,0,0,7,0,0,0,0,46,60,0,0,0,23,6,1,1,0,57449,0,Středočeský,2024-01-01
300-599,majetková kriminalita,859,103,0.1199,0,0,0,69,7,2,1,0,159,262,2,5,7,166,23,4,3,0,86268,113,Středočeský,2024-01-01
600-699,ostatní kriminalita,330,157,0.4758,0,0,0,88,19,9,7,0,124,281,4,5,9,162,29,13,9,0,7404,0,Středočeský,2024-01-01
100-699,obecná kriminalita,1388,300,0.2161,0,2,2,176,32,13,10,0,337,637,11,14,25,367,63,21,15,0,93975,113,Středočeský,2024-01-01
700-799,zbývající kriminalita,366,100,0.2732,0,0,0,28,30,81,79,0,163,263,0,1,1,72,54,130,123,0,30674,0,Středočeský,2024-01-01
800-899,hospodářská kriminalita,106,7,0.066,0,0,0,1,2,0,0,0,25,32,0,0,0,9,7,0,0,4,47102,62,Středočeský,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Středočeský,2024-01-01
100-106,vraždy,1,1,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Jihočeský,2024-01-01
