TSK,TSK_desc,Registrovano_pocet,Objasneno_pocet,Objasneno_procent,Spachano_nezletilymi,Spachano_mladistvymi,Spachano_detmi,Spachano_opakovane,Spachano_cizinci,Spachano_pod_vlivem,Spachano_pod_vlivem_alkoholu,Spachano_firmou,Objasneno_dodatecne,Objasneno_celkem,Spachano_nezletilymi_celkem,Spachano_mladistvymi_celkem,Spachano_detmi_celkem,Spachano_opakovane_celkem,Spachano_cizinci_celkem,Spachano_pod_vlivem_celkem,Spachano_pod_vlivem_alkoholu_celkem,Spachano_firmou_celkem,Skoda_celkem_tis,Skoda_zajistena_tis,Region,Period
100-199,násilná kriminalita,113,28,0.24780000000000002,1,1,2,13,5,2,1,0,17,45,2,2,4,18,6,2,1,0,37,0,Jihočeský,2024-01-01
200-299,mravnostní kriminalita,16,2,0.125,1,0,1,0,0,0,0,0,5,7,2,1,3,1,0,0,0,0,0,0,Jihočeský,2024-01-01
300-399,krádeže vloupáním,91,3,0.033,0,0,0,2,0,0,0,0,16,19,0,1,1,15,1,0,0,0,3880,18,Jihočeský,2024-01-01
400-499,krádeže prosté,116,58,0.5,0,0,0,51,2,2,2,0,19,77,0,0,0,63,4,2,2,0,1789,18,Jihočeský,2024-01-01
500-599,ostatní majetková kriminalita,123,8,0.065,0,0,0,4,1,1,1,0,16,24,0,0,0,13,3,1,1,0,42076,0,Jihočeský,2024-01-01
300-599,majetková kriminalita,330,69,0.2091,0,0,0,57,3,3,3,0,51,120,0,1,1,91,8,3,3,0,47746,36,Jihočeský,2024-01-01
600-699,ostatní kriminalita,160,74,0.4625,2,0,2,46,11,6,4,0,33,107,3,4,7,62,12,10,5,0,11303,0,Jihočeský,2024-01-01
100-699,obecná kriminalita,619,173,0.27949999999999997,4,1,5,116,19,11,8,0,106,279,7,8,15,172,26,15,9,0,59086,36,Jihočeský,2024-01-01
700-799,zbývající kriminalita,191,52,0.2723,0,0,0,26,6,22,19,0,60,112,0,0,0,52,11,46,34,0,9511,0,Jihočeský,2024-01-01
800-899,hospodářská kriminalita,105,21,0.2,0,0,0,10,0,0,0,0,14,35,0,0,0,13,3,0,0,0,63739,0,Jihočeský,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jihočeský,2024-01-01
100-106,vraždy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plzeňský,2024-01-01
100-199,násilná kriminalita,90,22,0.2444,0,5,5,14,7,4,4,0,31,53,0,11,11,30,18,5,5,0,203,0,Plzeňský,2024-01-01
200-299,mravnostní kriminalita,22,2,0.0909,0,0,0,0,0,0,0,0,6,8,1,1,2,3,0,0,0,0,0,0,Plzeňský,2024-01-01
300-399,krádeže vloupáním,101,7,0.0693,0,0,0,7,0,0,0,0,19,26,0,1,1,23,1,0,0,0,3161,0,Plzeňský,2024-01-01
400-499,krádeže prosté,100,23,0.23,0,0,0,16,2,0,0,0,25,48,1,0,1,32,7,0,0,0,17101,0,Plzeňský,2024-01-01
500-599,ostatní majetková kriminalita,151,8,0.053,0,0,0,2,1,1,1,0,21,29,0,2,2,11,4,1,1,0,15535,0,Plzeňský,2024-01-01
300-599,majetková kriminalita,352,38,0.10800000000000001,0,0,0,25,3,1,1,0,65,103,1,3,4,66,12,1,1,0,35797,0,Plzeňský,2024-01-01
600-699,ostatní kriminalita,138,44,0.3188,0,1,1,26,6,3,2,0,57,101,1,6,7,56,15,7,5,0,19918,0,Plzeňský,2024-01-01
100-699,obecná kriminalita,602,106,0.1761,0,6,6,65,16,8,7,0,159,265,3,21,24,155,45,13,11,0,55919,0,Plzeňský,2024-01-01
700-799,zbývající kriminalita,179,22,0.1229,0,0,0,6,7,17,17,0,94,116,0,0,0,37,22,67,52,0,12133,0,Plzeňský,2024-01-01
800-899,hospodářská kriminalita,65,1,0.0154,0,0,0,1,0,0,0,0,10,11,0,0,0,2,0,0,0,1,9975,0,Plzeňský,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plzeňský,2024-01-01
100-106,vraždy,1,1,1.0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,Ústecký,2024-01-01
100-199,násilná kriminalita,173,61,0.35259999999999997,0,0,0,36,7,20,12,0,35,96,1,5,6,47,10,23,14,0,846,3,Ústecký,2024-01-01
200-299,mravnostní kriminalita,50,13,0.26,0,1,1,8,1,0,0,0,16,29,2,6,8,10,1,0,0,0,0,0,Ústecký,2024-01-01
300-399,krádeže vloupáním,174,29,0.16670000000000001,0,0,0,23,0,1,0,0,54,83,0,2,2,64,0,1,0,0,3866,72,Ústecký,2024-01-01
400-499,krádeže prosté,365,180,0.4932,1,0,1,159,2,8,2,0,49,229,3,2,5,192,4,8,2,0,7680,141,Ústecký,2024-01-01
500-599,ostatní majetková kriminalita,267,26,0.0974,0,0,0,13,0,9,4,0,40,66,0,1,1,31,5,10,4,0,41116,0,Ústecký,2024-01-01
300-599,majetková kriminalita,806,235,0.2916,1,0,1,195,2,18,6,0,143,378,3,5,8,287,9,19,6,0,52662,212,Ústecký,2024-01-01
600-699,ostatní kriminalita,343,139,0.4053,1,1,2,93,7,20,10,0,61,200,3,9,12,119,9,23,11,0,9846,0,Ústecký,2024-01-01
100-699,obecná kriminalita,1372,448,0.3265,2,2,4,332,17,58,28,0,255,703,9,25,34,463,29,65,31,0,63354,215,Ústecký,2024-01-01
700-799,zbývající kriminalita,267,46,0.1723,0,2,2,15,9,33,31,0,96,142,1,2,3,48,18,55,50,0,34837,0,Ústecký,2024-01-01
800-899,hospodářská kriminalita,121,31,0.2562,0,0,0,6,7,0,0,1,18,49,0,0,0,10,13,0,0,1,81988,0,Ústecký,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ústecký,2024-01-01
100-106,vraždy,2,2,1.0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,Královéhradecký,2024-01-01
100-199,násilná kriminalita,59,14,0.2373,0,0,0,7,3,1,1,0,16,30,0,1,1,15,4,6,5,0,78,0,Královéhradecký,2024-01-01
200-299,mravnostní kriminalita,12,1,0.0833,0,0,0,0,0,1,1,0,7,8,5,0,5,1,0,1,1,0,0,0,Královéhradecký,2024-01-01
300-399,krádeže vloupáním,48,9,0.1875,0,0,0,6,0,0,0,0,15,24,0,0,0,15,1,0,0,0,1700,27,Královéhradecký,2024-01-01
400-499,krádeže prosté,85,22,0.2588,0,0,0,18,0,0,0,0,28,50,0,1,1,39,3,0,0,0,6960,8,Královéhradecký,2024-01-01
500-599,ostatní majetková kriminalita,118,4,0.0339,0,0,0,2,0,0,0,0,16,20,1,0,1,7,1,2,1,0,18632,0,Královéhradecký,2024-01-01
300-599,majetková kriminalita,251,35,0.1394,0,0,0,26,0,0,0,0,59,94,1,1,2,61,5,2,1,0,27293,35,Královéhradecký,2024-01-01
600-699,ostatní kriminalita,105,38,0.3619,0,0,0,29,2,5,2,0,23,61,1,1,2,43,4,6,2,0,292,0,Královéhradecký,2024-01-01
100-699,obecná kriminalita,427,88,0.2061,0,0,0,62,5,7,4,0,105,193,7,3,10,120,13,15,9,0,27662,35,Královéhradecký,2024-01-01
700-799,zbývající kriminalita,111,33,0.2973,0,0,0,7,3,24,15,0,39,72,0,0,0,13,6,38,26,0,3219,0,Královéhradecký,2024-01-01
800-899,hospodářská kriminalita,54,12,0.22219999999999998,0,0,0,3,2,0,0,0,10,22,0,0,0,5,5,0,0,0,17625,0,Královéhradecký,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Královéhradecký,2024-01-01
100-106,vraždy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jihomoravský,2024-01-01
100-199,násilná kriminalita,156,28,0.1795,0,2,2,19,5,7,6,0,69,97,3,8,11,48,8,16,14,0,338,0,Jihomoravský,2024-01-01
200-299,mravnostní kriminalita,32,5,0.1563,0,0,0,1,2,0,0,0,14,19,1,3,4,4,4,1,1,1,0,0,Jihomoravský,2024-01-01
300-399,krádeže vloupáním,237,9,0.038,0,0,0,6,3,1,0,0,27,36,0,0,0,32,4,1,0,0,9270,0,Jihomoravský,2024-01-01
400-499,krádeže prosté,286,48,0.1678,0,0,0,42,4,7,3,0,62,110,0,4,4,84,11,11,4,0,9956,117,Jihomoravský,2024-01-01
500-599,ostatní majetková kriminalita,413,15,0.0363,0,0,0,8,0,2,2,0,65,80,0,3,3,39,11,2,2,0,51107,0,Jihomoravský,2024-01-01
300-599,majetková kriminalita,936,72,0.07690000000000001,0,0,0,56,7,10,5,0,154,226,0,7,7,155,26,14,6,0,70334,117,Jihomoravský,2024-01-01
600-699,ostatní kriminalita,232,55,0.2371,0,2,2,29,8,7,4,0,99,154,1,11,11,87,19,20,11,0,960,0,Jihomoravský,2024-01-01
100-699,obecná kriminalita,1356,160,0.11800000000000001,0,4,4,105,22,24,15,0,336,496,5,29,33,294,57,51,32,1,71632,117,Jihomoravský,2024-01-01
700-799,zbývající kriminalita,243,41,0.16870000000000002,0,0,0,12,12,33,24,0,114,155,0,2,2,46,25,106,77,0,9533,0,Jihomoravský,2024-01-01
800-899,hospodářská kriminalita,151,17,0.11259999999999999,0,0,0,5,10,0,0,0,35,52,0,1,1,16,16,0,0,7,71291,0,Jihomoravský,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jihomoravský,2024-01-01
100-106,vraždy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moravskoslezský,2024-01-01
100-199,násilná kriminalita,204,57,0.27940000000000004,0,4,4,37,3,9,6,0,65,122,7,15,21,62,8,16,9,0,1143,0,Moravskoslezský,2024-01-01
200-299,mravnostní kriminalita,48,11,0.22920000000000001,3,2,5,2,3,1,0,0,13,24,8,3,11,4,5,1,0,0,0,0,Moravskoslezský,2024-01-01
300-399,krádeže vloupáním,304,52,0.1711,0,3,3,48,1,0,0,0,73,125,2,11,13,109,1,0,0,0,8514,36,Moravskoslezský,2024-01-01
400-499,krádeže prosté,502,208,0.4143,0,2,2,186,4,2,1,0,85,293,3,8,11,250,5,2,1,0,12932,171,Moravskoslezský,2024-01-01
500-599,ostatní majetková kriminalita,348,18,0.051699999999999996,0,0,0,11,2,0,0,0,50,68,0,4,4,31,5,0,0,0,44118,0,Moravskoslezský,2024-01-01
300-599,majetková kriminalita,1154,278,0.2409,0,5,5,245,7,2,1,0,208,486,5,23,28,390,11,2,1,0,65564,208,Moravskoslezský,2024-01-01
600-699,ostatní kriminalita,353,141,0.3994,0,4,4,99,5,15,6,0,77,218,7,15,22,146,8,19,7,0,4966,0,Moravskoslezský,2024-01-01
100-699,obecná kriminalita,1759,487,0.27690000000000003,3,15,18,383,18,27,13,0,363,850,27,56,82,602,32,38,17,0,71673,208,Moravskoslezský,2024-01-01
700-799,zbývající kriminalita,279,78,0.2796,1,1,2,29,6,58,50,0,111,189,1,1,2,73,14,88,72,0,4175,0,Moravskoslezský,2024-01-01
800-899,hospodářská kriminalita,192,34,0.1771,0,0,0,12,1,0,0,0,16,50,0,0,0,18,4,0,0,1,23376,0,Moravskoslezský,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moravskoslezský,2024-01-01
100-106,vraždy,1,1,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Olomoucký,2024-01-01
100-199,násilná kriminalita,80,18,0.225,3,0,3,8,3,4,3,0,26,44,5,3,8,15,4,8,7,0,342,0,Olomoucký,2024-01-01
200-299,mravnostní kriminalita,10,2,0.2,0,0,0,1,1,2,2,0,6,8,0,0,0,1,1,2,2,0,0,0,Olomoucký,2024-01-01
300-399,krádeže vloupáním,79,5,0.0633,0,0,0,3,0,0,0,0,9,14,1,1,2,10,0,0,0,0,1755,20,Olomoucký,2024-01-01
400-499,krádeže prosté,142,48,0.33799999999999997,0,1,1,45,0,4,4,0,24,72,0,4,4,58,0,5,5,0,3567,18,Olomoucký,2024-01-01
500-599,ostatní majetková kriminalita,155,16,0.1032,0,0,0,5,2,2,0,0,15,31,1,0,1,10,6,4,2,0,20035,0,Olomoucký,2024-01-01
300-599,majetková kriminalita,376,69,0.18350000000000002,0,1,1,53,2,6,4,0,48,117,2,5,7,78,6,9,7,0,25357,38,Olomoucký,2024-01-01
600-699,ostatní kriminalita,146,58,0.3973,0,6,6,23,5,10,4,0,29,87,0,8,8,34,5,16,9,0,1786,0,Olomoucký,2024-01-01
100-699,obecná kriminalita,612,147,0.2402,3,7,10,85,11,22,13,0,109,256,7,16,23,128,16,35,25,0,27484,38,Olomoucký,2024-01-01
700-799,zbývající kriminalita,174,39,0.2241,0,0,0,10,6,31,29,0,59,98,0,0,0,27,9,56,51,0,7402,0,Olomoucký,2024-01-01
800-899,hospodářská kriminalita,109,19,0.1743,0,0,0,1,1,0,0,0,8,27,0,0,0,2,1,0,0,1,52743,0,Olomoucký,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olomoucký,2024-01-01
100-106,vraždy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zlínský,2024-01-01
100-199,násilná kriminalita,63,9,0.1429,0,1,1,6,0,7,2,0,16,25,1,2,3,14,1,14,6,0,218,0,Zlínský,2024-01-01
200-299,mravnostní kriminalita,12,1,0.0833,0,0,0,1,0,1,1,0,2,3,0,1,1,2,0,1,1,0,0,0,Zlínský,2024-01-01
300-399,krádeže vloupáním,63,4,0.0635,1,0,1,3,0,0,0,0,3,7,2,1,3,4,0,0,0,0,3373,7,Zlínský,2024-01-01
400-499,krádeže prosté,106,41,0.3868,0,0,0,38,1,7,3,0,37,78,0,0,0,73,1,7,3,0,1620,38,Zlínský,2024-01-01
500-599,ostatní majetková kriminalita,123,13,0.1057,0,1,1,5,1,5,1,0,9,22,1,1,2,9,1,5,1,0,18512,340,Zlínský,2024-01-01
300-599,majetková kriminalita,292,58,0.1986,1,1,2,46,2,12,4,0,49,107,3,2,5,86,2,12,4,0,23505,385,Zlínský,2024-01-01
600-699,ostatní kriminalita,124,47,0.379,0,1,1,28,3,9,7,0,15,62,0,2,2,36,4,13,9,0,333,0,Zlínský,2024-01-01
100-699,obecná kriminalita,491,115,0.23420000000000002,1,3,4,81,5,29,14,0,82,197,4,7,11,138,7,40,20,0,24056,385,Zlínský,2024-01-01
700-799,zbývající kriminalita,162,24,0.1482,0,0,0,7,4,16,14,0,42,66,0,0,0,20,11,37,29,0,8970,0,Zlínský,2024-01-01
800-899,hospodářská kriminalita,65,6,0.09230000000000001,0,0,0,1,0,0,0,0,4,10,0,0,0,1,0,0,0,0,72959,0,Zlínský,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zlínský,2024-01-01
100-106,vraždy,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vysočina,2024-01-01
100-199,násilná kriminalita,57,13,0.2281,0,2,2,7,2,2,2,0,19,32,0,4,4,13,4,7,4,0,1544,0,Vysočina,2024-01-01
200-299,mravnostní kriminalita,16,2,0.125,0,0,0,0,0,0,0,0,4,6,2,1,3,0,0,0,0,0,0,0,Vysočina,2024-01-01
300-399,krádeže vloupáním,56,17,0.3036,0,1,1,16,0,1,1,0,13,30,0,3,3,27,0,1,1,0,9358,0,Vysočina,2024-01-01
400-499,krádeže prosté,91,38,0.41759999999999997,0,0,0,35,1,1,0,0,15,53,1,2,3,44,1,1,0,0,3345,7,Vysočina,2024-01-01
500-599,ostatní majetková kriminalita,126,6,0.047599999999999996,0,0,0,4,1,0,0,0,13,19,0,1,1,10,2,0,0,0,23496,0,Vysočina,2024-01-01
300-599,majetková kriminalita,273,61,0.2234,0,1,1,55,2,2,1,0,41,102,1,6,7,81,3,2,1,0,36198,7,Vysočina,2024-01-01
600-699,ostatní kriminalita,99,33,0.3333,0,0,0,22,3,6,5,0,19,52,0,2,2,31,4,8,6,0,380,0,Vysočina,2024-01-01
100-699,obecná kriminalita,445,109,0.24489999999999998,0,3,3,84,7,10,8,0,83,192,3,13,16,125,11,17,11,0,38121,7,Vysočina,2024-01-01
700-799,zbývající kriminalita,100,41,0.41,0,1,1,10,12,32,26,0,40,81,0,1,1,18,15,43,35,0,8657,0,Vysočina,2024-01-01
800-899,hospodářská kriminalita,44,6,0.1364,0,0,0,1,2,0,0,0,4,10,0,0,0,2,2,0,0,0,49549,0,Vysočina,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vysočina,2024-01-01
100-106,vraždy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pardubický,2024-01-01
100-199,násilná kriminalita,34,9,0.2647,0,0,0,7,2,4,4,0,6,15,0,2,2,10,2,6,4,0,265,0,Pardubický,2024-01-01
200-299,mravnostní kriminalita,13,3,0.23079999999999998,2,0,2,0,0,0,0,0,3,6,2,1,3,0,0,0,0,0,0,0,Pardubický,2024-01-01
300-399,krádeže vloupáním,47,16,0.3404,0,0,0,15,4,0,0,0,18,34,0,0,0,32,5,1,1,0,1065,0,Pardubický,2024-01-01
400-499,krádeže prosté,68,34,0.5,0,0,0,30,3,4,3,0,11,45,0,0,0,39,4,5,3,0,837,19,Pardubický,2024-01-01
500-599,ostatní majetková kriminalita,119,5,0.042,0,0,0,3,2,2,2,0,11,16,1,0,1,7,4,4,4,0,10390,300,Pardubický,2024-01-01
300-599,majetková kriminalita,234,55,0.235,0,0,0,48,9,6,5,0,40,95,1,0,1,78,13,10,8,0,12291,319,Pardubický,2024-01-01
600-699,ostatní kriminalita,107,45,0.42060000000000003,0,0,0,25,6,8,4,0,9,54,2,0,2,29,7,9,4,0,75,0,Pardubický,2024-01-01
100-699,obecná kriminalita,388,112,0.2887,2,0,2,80,17,18,13,0,58,170,5,3,8,117,22,25,16,0,12631,319,Pardubický,2024-01-01
700-799,zbývající kriminalita,110,31,0.2818,0,0,0,10,4,26,23,0,33,64,0,0,0,22,9,34,28,0,5626,0,Pardubický,2024-01-01
800-899,hospodářská kriminalita,37,5,0.1351,0,0,0,0,1,0,0,0,8,13,0,0,0,1,2,0,0,0,7185,0,Pardubický,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pardubický,2024-01-01
100-106,vraždy,2,2,1.0,0,0,0,2,0,1,0,0,1,3,0,1,1,2,0,1,0,0,0,0,Liberecký,2024-01-01
100-199,násilná kriminalita,75,24,0.32,0,0,0,6,2,1,0,0,32,56,0,2,2,15,7,3,2,0,203,0,Liberecký,2024-01-01
200-299,mravnostní kriminalita,22,4,0.1818,0,0,0,0,0,0,0,0,5,9,0,0,0,2,0,0,0,0,0,0,Liberecký,2024-01-01
300-399,krádeže vloupáním,92,11,0.11960000000000001,0,0,0,8,0,0,0,0,39,50,0,1,1,36,3,0,0,0,4329,0,Liberecký,2024-01-01
400-499,krádeže prosté,123,49,0.39840000000000003,0,0,0,40,2,0,0,0,19,68,0,0,0,52,2,0,0,0,5080,44,Liberecký,2024-01-01
500-599,ostatní majetková kriminalita,125,4,0.032,0,0,0,3,1,0,0,0,20,24,2,0,2,12,3,0,0,0,9168,0,Liberecký,2024-01-01
300-599,majetková kriminalita,340,64,0.1882,0,0,0,51,3,0,0,0,78,142,2,1,3,100,8,0,0,0,18577,44,Liberecký,2024-01-01
600-699,ostatní kriminalita,162,86,0.5309,0,0,0,52,11,5,2,0,41,127,0,1,1,79,12,11,6,0,20081,0,Liberecký,2024-01-01
100-699,obecná kriminalita,599,178,0.29719999999999996,0,0,0,109,16,6,2,0,156,334,2,4,6,196,27,14,8,0,38861,44,Liberecký,2024-01-01
700-799,zbývající kriminalita,119,29,0.2437,0,0,0,3,3,21,18,0,59,88,0,0,0,15,8,40,30,0,7503,0,Liberecký,2024-01-01
800-899,hospodářská kriminalita,62,17,0.2742,0,0,0,1,1,0,0,0,9,26,0,0,0,7,1,0,0,0,6151,0,Liberecký,2024-01-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Liberecký,2024-01-01
100-106,vraždy,1,1,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Karlovarský,2024-01-01
100-199,násilná kriminalita,54,12,0.22219999999999998,0,0,0,8,1,2,1,0,15,27,0,1,1,14,2,4,1,0,180,0,Karlovarský,2024-01-01
200-299,mravnostní kriminalita,8,2,0.25,0,0,0,1,1,0,0,0,3,5,1,0,1,2,2,0,0,0,0,0,Karlovarský,2024-01-01
300-399,krádeže vloupáním,81,11,0.1358,0,0,0,10,0,0,0,0,29,40,0,0,0,28,0,0,0,0,3440,0,Karlovarský,2024-01-01
