"id","x","y","mp","date","state","relevance","types"
4,14.383911,49.958538,"false","2012-08-07T11:35:00.0000+02:00",2,2,54
261,14.011264,49.690007,"false","2012-08-22T08:00:00.0000+02:00",1,1,54
303,12.636875,50.238927,"false","2012-08-29T16:49:00.0000+02:00",2,4,74
303,12.636875,50.238927,"false","2012-08-29T16:49:00.0000+02:00",2,4,97
303,12.636875,50.238927,"false","2012-08-29T16:49:00.0000+02:00",2,4,124
448,14.935412,50.523591,"false","2012-08-06T09:13:00.0000+02:00",2,1,74
448,14.935412,50.523591,"false","2012-08-06T09:13:00.0000+02:00",2,1,97
448,14.935412,50.523591,"false","2012-08-06T09:13:00.0000+02:00",2,1,124
636,17.531989,49.203143,"false","2012-08-01T15:51:00.0000+02:00",1,1,55
636,17.531989,49.203143,"false","2012-08-01T15:51:00.0000+02:00",1,1,59
639,16.918012,49.780070,"false","2012-08-17T20:00:00.0000+02:00",2,1,77
639,16.918012,49.780070,"false","2012-08-17T20:00:00.0000+02:00",2,1,97
816,17.748311,49.132369,"false","2012-08-20T07:13:00.0000+02:00",1,1,74
816,17.748311,49.132369,"false","2012-08-20T07:13:00.0000+02:00",1,1,97
816,17.748311,49.132369,"false","2012-08-20T07:13:00.0000+02:00",1,1,120
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,18
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,21
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,29
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,34
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,35
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,40
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,48
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,49
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,52
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,55
835,15.114978,49.658068,"false","2012-08-02T08:00:00.0000+02:00",1,3,102
843,17.779689,49.256037,"false","2012-08-15T19:14:00.0000+02:00",1,4,74
843,17.779689,49.256037,"false","2012-08-15T19:14:00.0000+02:00",1,4,97
843,17.779689,49.256037,"false","2012-08-15T19:14:00.0000+02:00",1,4,120
1142,16.534382,49.215111,"false","2012-08-05T00:53:00.0000+02:00",2,1,76
1142,16.534382,49.215111,"false","2012-08-05T00:53:00.0000+02:00",2,1,97
1142,16.534382,49.215111,"false","2012-08-05T00:53:00.0000+02:00",2,1,111
1433,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,78
1433,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,97
1433,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,132
1434,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,77
1434,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,78
1434,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,97
1434,18.259773,49.825003,"false","2012-08-17T12:20:00.0000+02:00",2,1,132
1561,17.296709,49.589116,"false","2012-08-27T16:47:00.0000+02:00",2,4,74
1561,17.296709,49.589116,"false","2012-08-27T16:47:00.0000+02:00",2,4,97
1561,17.296709,49.589116,"false","2012-08-27T16:47:00.0000+02:00",2,4,120
1561,17.296709,49.589116,"false","2012-08-27T16:47:00.0000+02:00",2,4,124
1563,18.295068,49.664076,"false","2012-08-09T07:36:00.0000+02:00",1,1,74
1563,18.295068,49.664076,"false","2012-08-09T07:36:00.0000+02:00",1,1,97
1563,18.295068,49.664076,"false","2012-08-09T07:36:00.0000+02:00",1,1,122
1987,17.239294,49.576698,"false","2012-08-29T09:26:00.0000+02:00",1,1,76
1987,17.239294,49.576698,"false","2012-08-29T09:26:00.0000+02:00",1,1,97
1987,17.239294,49.576698,"false","2012-08-29T09:26:00.0000+02:00",1,1,108
2185,18.155627,49.842869,"false","2012-08-13T09:26:00.0000+02:00",2,4,76
2185,18.155627,49.842869,"false","2012-08-13T09:26:00.0000+02:00",2,4,97
2185,18.155627,49.842869,"false","2012-08-13T09:26:00.0000+02:00",2,4,111
2266,13.774062,49.050992,"false","2012-08-23T16:04:00.0000+02:00",1,1,74
2266,13.774062,49.050992,"false","2012-08-23T16:04:00.0000+02:00",1,1,97
2266,13.774062,49.050992,"false","2012-08-23T16:04:00.0000+02:00",1,1,124
2720,14.444086,50.033407,"false","2012-08-29T10:00:00.0000+02:00",2,4,74
2720,14.444086,50.033407,"false","2012-08-29T10:00:00.0000+02:00",2,4,97
2720,14.444086,50.033407,"false","2012-08-29T10:00:00.0000+02:00",2,4,120
2766,17.099033,49.038089,"false","2012-08-11T00:43:00.0000+02:00",1,1,78
2766,17.099033,49.038089,"false","2012-08-11T00:43:00.0000+02:00",1,1,97
2766,17.099033,49.038089,"false","2012-08-11T00:43:00.0000+02:00",1,1,127
