"id","x","y","mp","date","state","relevance","types"
901,14.383911,49.958538,"false","2012-02-08T13:59:00.0000+01:00",2,1,54
1819,15.945370,50.566106,"false","2012-02-20T00:00:00.0000+01:00",1,4,54
3454,12.825863,50.208536,"false","2012-02-02T18:06:00.0000+01:00",1,1,55
3454,12.825863,50.208536,"false","2012-02-02T18:06:00.0000+01:00",1,1,76
3454,12.825863,50.208536,"false","2012-02-02T18:06:00.0000+01:00",1,1,97
3454,12.825863,50.208536,"false","2012-02-02T18:06:00.0000+01:00",1,1,102
3454,12.825863,50.208536,"false","2012-02-02T18:06:00.0000+01:00",1,1,111
3492,17.298288,49.725183,"false","2012-02-01T09:10:00.0000+01:00",2,1,74
3492,17.298288,49.725183,"false","2012-02-01T09:10:00.0000+01:00",2,1,97
3492,17.298288,49.725183,"false","2012-02-01T09:10:00.0000+01:00",2,1,120
3580,13.731355,48.904468,"false","2012-02-20T14:50:00.0000+01:00",1,4,74
3580,13.731355,48.904468,"false","2012-02-20T14:50:00.0000+01:00",1,4,97
3580,13.731355,48.904468,"false","2012-02-20T14:50:00.0000+01:00",1,4,120
4295,17.155069,49.688937,"false","2012-02-03T10:35:00.0000+01:00",1,4,18
4295,17.155069,49.688937,"false","2012-02-03T10:35:00.0000+01:00",1,4,34
4295,17.155069,49.688937,"false","2012-02-03T10:35:00.0000+01:00",1,4,54
8907,14.441189,50.093407,"false","2012-02-06T13:38:00.0000+01:00",2,4,54
9050,13.402463,49.746829,"false","2012-02-27T12:55:00.0000+01:00",1,4,54
9050,13.402463,49.746829,"false","2012-02-27T12:55:00.0000+01:00",1,4,55
9050,13.402463,49.746829,"false","2012-02-27T12:55:00.0000+01:00",1,4,102
9380,14.496645,50.912042,"false","2012-02-28T23:50:00.0000+01:00",1,4,74
9380,14.496645,50.912042,"false","2012-02-28T23:50:00.0000+01:00",1,4,97
9380,14.496645,50.912042,"false","2012-02-28T23:50:00.0000+01:00",1,4,120
9416,13.208895,50.375264,"false","2012-02-19T11:20:00.0000+01:00",1,4,18
9416,13.208895,50.375264,"false","2012-02-19T11:20:00.0000+01:00",1,4,25
9416,13.208895,50.375264,"false","2012-02-19T11:20:00.0000+01:00",1,4,63
9416,13.208895,50.375264,"false","2012-02-19T11:20:00.0000+01:00",1,4,72
9435,14.389288,50.070118,"false","2012-02-16T15:22:00.0000+01:00",1,4,54
9514,14.555039,50.074897,"false","2012-02-07T15:21:00.0000+01:00",1,4,54
9764,15.138124,50.595149,"false","2012-02-12T21:05:00.0000+01:00",2,4,35
9764,15.138124,50.595149,"false","2012-02-12T21:05:00.0000+01:00",2,4,37
9764,15.138124,50.595149,"false","2012-02-12T21:05:00.0000+01:00",2,4,55
9764,15.138124,50.595149,"false","2012-02-12T21:05:00.0000+01:00",2,4,102
